question,sql
查詢每種類型的案件平均持續時間,"SELECT OID, D2_UNUSUALTYPE, AVG(DATEDIFF(D3_FINISHDATE, D3_DUEDATE)) AS avg_duration FROM REPORT GROUP BY D2_UNUSUALTYPE"
列出所有與設備故障相關的案件及其描述,"SELECT OID, D4_DESC FROM REPORT WHERE D2_UNUSUALTYPE = '設備故障'"
統計每位負責人處理的案件總數和未完成的案件數量,"SELECT OID, D3_OWNER, COUNT(*) AS total_cases, SUM(D3_FINISHDATE IS NULL) AS pending_cases FROM REPORT GROUP BY D3_OWNER"
找出所有未指派負責人的案件記錄,"SELECT OID, * FROM REPORT WHERE D3_OWNER IS NULL OR D3_OWNER = ''"
篩選最近一個月內完成的案件,"SELECT OID, * FROM REPORT WHERE D3_FINISHDATE >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH)"
統計每個部門處理的案件數量,"SELECT OID, D1_DEPT, COUNT(*) AS total_cases FROM REPORT GROUP BY D1_DEPT"
列出所有在特定設備上發生的案件,"SELECT OID, * FROM REPORT WHERE D2_DEVICENAME = '特定設備名稱'"
查詢每位負責人最後處理的案件日期,"SELECT OID, D3_OWNER, MAX(D3_FINISHDATE) AS last_case_date FROM REPORT GROUP BY D3_OWNER"
計算每種類型案件的最大持續時間,"SELECT OID, D2_UNUSUALTYPE, MAX(DATEDIFF(D3_FINISHDATE, D3_DUEDATE)) AS max_duration FROM REPORT GROUP BY D2_UNUSUALTYPE"
列出所有包含特定關鍵詞的描述記錄,"SELECT OID, * FROM REPORT WHERE D4_DESC LIKE '%關鍵詞%'"
查詢每種案件的根本原因,"SELECT OID, D2_UNUSUALTYPE, D4_ROOTCAUSE FROM REPORT GROUP BY D2_UNUSUALTYPE, D4_ROOTCAUSE"
篩選所有未完成的案件,"SELECT OID, * FROM REPORT WHERE D3_FINISHDATE IS NULL"
統計每位負責人完成的案件數量,"SELECT OID, D3_OWNER, COUNT(*) AS completed_cases FROM REPORT WHERE D3_FINISHDATE IS NOT NULL GROUP BY D3_OWNER"
列出所有在特定期間內發生的案件,"SELECT OID, * FROM REPORT WHERE D2_WHEN BETWEEN '2024-01-01' AND '2024-12-31'"
找出描述中包含特定字詞的案件,"SELECT OID, * FROM REPORT WHERE D4_DESC LIKE '%字詞%'"
查詢所有案件的負責人和部門,"SELECT OID, D3_OWNER, D1_DEPT FROM REPORT"
列出每位負責人的未完成案件數,"SELECT OID, D3_OWNER, COUNT(*) AS pending_cases FROM REPORT WHERE D3_FINISHDATE IS NULL GROUP BY D3_OWNER"
找出所有涉及特定裝置名稱的案件,"SELECT OID, * FROM REPORT WHERE D2_DEVICENAME = '特定裝置名稱'"
查詢所有案件的發生地點和負責人,"SELECT OID, D2_WHERE, D3_OWNER FROM REPORT"
計算每種類型案件的數量,"SELECT OID, D2_UNUSUALTYPE, COUNT(*) AS case_count FROM REPORT GROUP BY D2_UNUSUALTYPE"
查詢所有案件的執行動作和部門,"SELECT OID, D3_ACTION, D1_DEPT FROM REPORT"
統計每種案件類型的平均影響範圍,"SELECT OID, D2_UNUSUALTYPE, AVG(D2_QTY_P) AS avg_impact FROM REPORT GROUP BY D2_UNUSUALTYPE"
找出最近一周內新增的案件,"SELECT OID, * FROM REPORT WHERE D2_WHEN >= DATE_SUB(CURDATE(), INTERVAL 7 DAY)"
查詢每位負責人的最後一個案件的描述,"SELECT OID, D3_OWNER, D4_DESC FROM REPORT WHERE (D3_OWNER, D3_FINISHDATE) IN (SELECT D3_OWNER, MAX(D3_FINISHDATE) FROM REPORT GROUP BY D3_OWNER)"
篩選根本原因為特定類型的案件,"SELECT OID, * FROM REPORT WHERE D4_ROOTTYPE = '特定類型'"
篩選所有涉及人員的根本原因描述,"SELECT OID, * FROM  Rootcauses WHERE D4_DESC LIKE '%人員%' OR D4_ROOTCAUSE LIKE '%人員%' OR D4_WHY1ESC LIKE '%人員%' OR D4_WHY2ESC LIKE '%人員%' OR D4_WHY3ESC LIKE '%人員%' OR D4_WHY4ESC LIKE '%人員%' OR D4_WHY5ESC LIKE '%人員%'"
取得所有包含wafer受損的描述紀錄,"SELECT OID, * FROM  Rootcauses WHERE D4_DESC LIKE '%wafer%'"
計算包含wafer的紀錄數量,"SELECT OID, COUNT(*) FROM  Rootcauses WHERE D4_DESC LIKE '%wafer%'"
查詢包含wafer的所有根本原因描述,"SELECT OID, D4_ROOTCAUSE FROM  Rootcauses WHERE D4_DESC LIKE '%wafer%'"
取得所有包含破片的描述紀錄,"SELECT OID, * FROM  Rootcauses WHERE D4_DESC LIKE '%破片%'"
計算包含破片的紀錄數量,"SELECT OID, COUNT(*) AS record_count FROM  Rootcauses WHERE OID IS NOT NULL AND (D4_DESC LIKE '%破片%' OR D4_WHY1ESC LIKE '%破片%' OR D4_WHY2ESC LIKE '%破片%' OR D4_WHY3ESC LIKE '%破片%' OR D4_WHY4ESC LIKE '%破片%' OR D4_WHY5ESC LIKE '%破片%' )"
查詢所有破片且有根本原因的紀錄,"SELECT OID, * FROM  Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_ROOTCAUSE IS NOT NULL"
按負責人統計包含 '破片' 的紀錄數量,"SELECT OID, D4_TRAINER, COUNT(*) AS fragment_issue_count FROM  Rootcauses WHERE D4_DESC LIKE '%破片%' GROUP BY D4_TRAINER"
查詢包含 '破片' 且 'D4_WHY1ESC' 有值的紀錄,"SELECT OID, * FROM  Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_WHY1ESC IS NOT NULL"
取得根本原因類型為 '機' 且包含 '破片' 的紀錄,"SELECT OID, * FROM  Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_ROOTTYPE = '機'"
篩選包含破片且 D4_WHY1OCC 不為空的紀錄,"SELECT OID, * FROM  Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_WHY1OCC IS NOT NULL"
取得包含破片且有 'D4_WHY5OCC' 步驟的紀錄,"SELECT OID, * FROM  Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_WHY5OCC IS NOT NULL"
查詢包含破片的所有根本原因描述,"SELECT OID, D4_ROOTCAUSE FROM  Rootcauses WHERE D4_DESC LIKE '%破片%'"
尋找資料欄位裡跟破片相關的問題,"SELECT OID, HDNUNUSUALTYPENAME, D1_DEPT, D1_NAME, D1_TITLE, D2_DEVICENAME, D2_LOTNO, D2_LOTQTY, D2_PACKAGETYPE, D2_QTY, D3_ACTION, D3_DEPT, D3_OWNER, D4_DESC, D4_ROOTCAUSE FROM REPORT WHERE HDNUNUSUALTYPENAME LIKE '%破片%' OR D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%'"
尋找需要改進的機台點位精準度偏移問題,"SELECT OID, HDNUNUSUALTYPENAME, D1_DEPT, D1_NAME, D2_DEVICENAME, D4_DESC, D4_ROOTCAUSE, D5_ACTION FROM REPORT WHERE D4_DESC LIKE '%精準度偏移%' OR D4_ROOTCAUSE LIKE '%精準度偏移%' OR D5_ACTION LIKE '%精準度偏移%'"
分析涉及異常的設備數量分佈,"SELECT OID, D2_DEVICENAME, COUNT(*) AS occurrence_count FROM REPORT WHERE HDNUNUSUALTYPENAME IS NOT NULL GROUP BY D2_DEVICENAME ORDER BY occurrence_count DESC"
查詢包含破片的所有根本原因描述,"SELECT OID, D4_ROOTCAUSE FROM REPORT WHERE D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
尋找資料欄位裡跟破片相關的問題,"SELECT OID, HDNUNUSUALTYPENAME, D1_DEPT, D1_NAME, D1_TITLE, D2_DEVICENAME, D2_LOTNO, D2_LOTQTY, D2_PACKAGETYPE, D2_QTY, D3_ACTION, D3_DEPT, D3_OWNER, D4_DESC, D4_ROOTCAUSE FROM REPORT WHERE HDNUNUSUALTYPENAME LIKE '%破片%' OR D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
統計破片相關問題的批次數量,"SELECT D2_LOTNO, COUNT(*) AS batch_count FROM REPORT WHERE D4_DESC LIKE '%破片%' GROUP BY D2_LOTNO ORDER BY batch_count DESC;"
查詢破片問題的負責部門及執行狀態,"SELECT OID, D1_DEPT, D5_ACTION, D5_DUEDATE, D5_FINISHDATE FROM REPORT WHERE D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
列出破片問題的設備名稱及批次資訊,"SELECT D2_DEVICENAME, D2_LOTNO, D2_LOTQTY FROM REPORT WHERE D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
查詢涉及破片的未完成改善計畫,"SELECT OID, D5_ACTION, D5_DUEDATE FROM REPORT WHERE D4_DESC LIKE '%破片%' AND D5_FINISHDATE IS NULL;"
查詢破片相關問題的責任人及其對應行動,"SELECT OID, D5_OWNER, D5_ACTION FROM REPORT WHERE D4_DESC LIKE '%破片%' OR D4_ROOTCAUSE LIKE '%破片%';"
查詢破片問題的異常類型分佈,"SELECT OID, HDNUNUSUALTYPENAME, COUNT(*) AS issue_count FROM REPORT WHERE HDNUNUSUALTYPENAME LIKE '%破片%' GROUP BY HDNUNUSUALTYPENAME;"
查詢破片問題的發生時間分佈,"SELECT OID, D2_WHEN, COUNT(*) AS occurrence_count FROM REPORT WHERE D4_DESC LIKE '%破片%' GROUP BY D2_WHEN ORDER BY occurrence_count DESC;"
分析破片問題的地點及原因分佈,"SELECT OID, D2_WHERE, D4_ROOTCAUSE, COUNT(*) AS occurrence_count FROM REPORT WHERE D4_DESC LIKE '%破片%' GROUP BY D2_WHERE, D4_ROOTCAUSE;"
找出所有異常類型名稱的資料,"SELECT OID, HDNUNUSUALTYPENAME FROM REPORT"
篩選部門為'邏輯工程三部一課'的資料,"SELECT * FROM REPORT WHERE D1_DEPT = '邏輯工程三部一課'"
找出涉及封合異常的根因分析資料,"SELECT OID, D4_ROOTCAUSE FROM REPORT WHERE D4_ROOTCAUSE LIKE '%封合%'"
統計每個部門負責的異常數量,"SELECT COUNT(*) AS 異常數量 FROM REPORT GROUP BY D1_DEPT"
找出所有包含溫度相關的異常描述,"SELECT OID, D4_DESC FROM REPORT WHERE D4_DESC LIKE '%溫度%'"
篩選設備名稱為'RTC7647O'的相關資料,"SELECT * FROM REPORT WHERE D2_DEVICENAME = 'RTC7647O'"
篩選負責人姓名為'范姜永偉'的異常記錄,"SELECT * FROM REPORT WHERE D1_NAME = '范姜永偉'"
找出所有未完成的行動計畫,"SELECT OID, D3_ACTION FROM REPORT WHERE D3_FINISHDATE IS NULL"
找出特定批次號碼'DIM172R1_1R'的所有資料,"SELECT * FROM REPORT WHERE D2_LOTNO = 'DIM172R1_1R'"
統計每種封裝類型的批次數量,"SELECT COUNT(*) AS 批次數量 FROM REPORT GROUP BY D2_PACKAGETYPE"
找出行動計畫超過期限的記錄,"SELECT OID, D5_ACTION, D5_DUEDATE FROM REPORT WHERE D5_FINISHDATE > D5_DUEDATE"
找出涉及訓練的根因分析記錄,"SELECT OID, D4_TRAINER, D4_ROOTCAUSE FROM REPORT WHERE D4_TRAINER IS NOT NULL"
篩選負責人職稱為'課長'的異常資料,"SELECT * FROM REPORT WHERE D1_TITLE = '課長'"
找出所有相關5WHY分析中提到'精準度'的記錄,"SELECT OID, D4_WHY1OCC, D4_WHY2OCC, D4_WHY3OCC, D4_WHY4OCC, D4_WHY5OCC FROM REPORT WHERE D4_WHY1OCC LIKE '%精準度%' OR D4_WHY2OCC LIKE '%精準度%' OR D4_WHY3OCC LIKE '%精準度%' OR D4_WHY4OCC LIKE '%精準度%' OR D4_WHY5OCC LIKE '%精準度%'"
統計各責任部門的完成情況,"SELECT COUNT(*) AS 負責案件數, COUNT(D5_FINISHDATE) AS 完成案件數 FROM REPORT GROUP BY D5_DEPT"
篩選批次數量與實際數量不符的記錄,"SELECT * FROM REPORT WHERE D2_QTY <> D2_LOTQTY"
找出包含特定責任人'楊創富'的異常處理資料,SELECT * FROM REPORT WHERE D5_OWNER LIKE '%楊創富%'"
統計各封裝型態的數量,"SELECT COUNT(*) AS 封裝型態 FROM REPORT GROUP BY D2_PACKAGETYPE"
找出所有提到機台問題的5WHY分析資料,"SELECT OID, D4_WHY1OCC, D4_WHY2OCC, D4_WHY3OCC, D4_WHY4OCC, D4_WHY5OCC FROM REPORT WHERE D4_WHY1OCC LIKE '%機台%' OR D4_WHY2OCC LIKE '%機台%' OR D4_WHY3OCC LIKE '%機台%' OR D4_WHY4OCC LIKE '%機台%' OR D4_WHY5OCC LIKE '%機台%'"
篩選負責部門中提到'製造'的記錄,"SELECT * FROM REPORT WHERE D5_DEPT LIKE '%製造%'"
找出包含'異常封裝'的分析記錄,"SELECT * FROM REPORT WHERE D4_DESC LIKE '%異常封裝%'"
找出特定設備'RTL8720CF-VDG-CG'的所有資料,"SELECT * FROM REPORT WHERE D2_DEVICENAME = 'RTL8720CF-VDG-CG'"
找出批次量超過平均值的記錄,"SELECT * FROM REPORT WHERE D2_LOTQTY > (SELECT OID, AVG(D2_LOTQTY) FROM REPORT)"
篩選批號包含'1A1A'的資料,"SELECT * FROM REPORT WHERE D2_LOTNO LIKE '%1A1A%'"
找出包含'人員'相關的根因描述,"SELECT OID, D4_ROOTCAUSE FROM REPORT WHERE D4_ROOTCAUSE LIKE '%人員%'"
找出所有提到'標示'的異常分析記錄,"SELECT OID, D4_DESC FROM REPORT WHERE D4_DESC LIKE '%標示%'"
