question,sql
篩選包含 'wafer' 且 D4_WHY1OCC 不為空的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%wafer%' AND D4_WHY1OCC IS NOT NULL;
查詢所有包含 'wafer' 且根本原因類型為 '料' 的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%wafer%' AND D4_ROOTTYPE = '料';
取得包含 'wafer' 且有 'D4_WHY5OCC' 步驟的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%wafer%' AND D4_WHY5OCC IS NOT NULL;
查詢包含 'wafer' 的所有根本原因描述,SELECT D4_ROOTCAUSE FROM Rootcauses WHERE D4_DESC LIKE '%wafer%';
取得所有包含 '破片' 的描述紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%破片%';
計算包含 '破片' 的紀錄數量,SELECT COUNT(*) AS record_count FROM Rootcauses WHERE OID IS NOT NULL AND (D4_DESC LIKE '%破片%' OR D4_WHY1ESC LIKE '%破片%' OR D4_WHY2ESC LIKE '%破片%' OR D4_WHY3ESC LIKE '%破片%' OR D4_WHY4ESC LIKE '%破片%' OR D4_WHY5ESC LIKE '%破片%' );
查詢所有 '破片' 且有根本原因的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_ROOTCAUSE IS NOT NULL;
按負責人統計包含 '破片' 的紀錄數量,"SELECT D4_TRAINER, COUNT(*) AS fragment_issue_count FROM Rootcauses WHERE D4_DESC LIKE '%破片%' GROUP BY D4_TRAINER"
查詢包含 '破片' 且 'D4_WHY1ESC' 有值的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_WHY1ESC IS NOT NULL;
取得根本原因類型為 '機' 且包含 '破片' 的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_ROOTTYPE = '機';
篩選包含 '破片' 且 D4_WHY1OCC 不為空的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_WHY1OCC IS NOT NULL;
取得包含 '破片' 且有 'D4_WHY5OCC' 步驟的紀錄,SELECT * FROM Rootcauses WHERE D4_DESC LIKE '%破片%' AND D4_WHY5OCC IS NOT NULL;
查詢包含 '破片' 的所有根本原因描述,SELECT D4_ROOTCAUSE FROM Rootcauses WHERE D4_DESC LIKE '%破片%';
取得所有根本原因分類的紀錄,"SELECT OID, D4_ROOTTYPE FROM ROOTCAUSES"
取得每個問題的描述內容,"SELECT OID, D4_DESC FROM ROOTCAUSES"
取得所有相關的負責人資料,"SELECT OID, D4_TRAINER FROM ROOTCAUSES"
列出所有D4_WHY1ESC詳細解釋,"SELECT OID, D4_WHY1ESC FROM ROOTCAUSES"
列出所有D4_WHY2ESC詳細解釋,"SELECT OID, D4_WHY2ESC FROM ROOTCAUSES"
取得D4_WHY1OCC詳細的發生原因,"SELECT OID, D4_WHY1OCC FROM ROOTCAUSES"
列出每個問題的根本原因詳細內容,"SELECT OID, D4_ROOTCAUSE FROM ROOTCAUSES"
檢索D4_WHY4ESC的所有記錄,"SELECT OID, D4_WHY4ESC FROM ROOTCAUSES"
查詢哪些記錄未定義根本原因,SELECT OID FROM ROOTCAUSES WHERE D4_ROOTCAUSE IS NULL
檢索所有D4_WHY3OCC的內容,"SELECT OID, D4_WHY3OCC FROM ROOTCAUSES"
列出每個問題的負責人與分類,"SELECT OID, D4_TRAINER, D4_ROOTTYPE FROM ROOTCAUSES"
取得D4_DESC為空的記錄,SELECT OID FROM ROOTCAUSES WHERE D4_DESC IS NULL
列出每個記錄的OID與D4_WHY5ESC詳細原因,"SELECT OID, D4_WHY5ESC FROM ROOTCAUSES"
查詢D4_ROOTCAUSEESC內容不為空的記錄,"SELECT OID, D4_ROOTCAUSEESC FROM ROOTCAUSES WHERE D4_ROOTCAUSEESC IS NOT NULL"
列出每個記錄的OID與所有為甚麼的原因欄位,"SELECT OID, D4_WHY1ESC, D4_WHY2ESC, D4_WHY3ESC, D4_WHY4ESC, D4_WHY5ESC FROM ROOTCAUSES"
查詢所有記錄的OID與根本原因與分類,"SELECT OID, D4_ROOTCAUSE, D4_ROOTTYPE FROM ROOTCAUSES"
檢索D4_WHY4OCC的具體原因,"SELECT OID, D4_WHY4OCC FROM ROOTCAUSES"
列出每個OID與D4_WHY2OCC的內容,"SELECT OID, D4_WHY2OCC FROM ROOTCAUSES"
查詢哪些記錄的負責人未定義,SELECT OID FROM ROOTCAUSES WHERE D4_TRAINER IS NULL
檢索所有有D4_ROOTCAUSEESC內容的記錄,"SELECT OID, D4_ROOTCAUSEESC FROM ROOTCAUSES"
列出所有D4_WHY5ESC與其詳細原因,"SELECT OID, D4_WHY5ESC FROM ROOTCAUSES"
取得每個問題的分類與根本原因,"SELECT OID, D4_ROOTTYPE, D4_ROOTCAUSE FROM ROOTCAUSES"
查詢每個記錄的OID與D4_TRAINER,"SELECT OID, D4_TRAINER FROM ROOTCAUSES"

